name,title
EventID,EventID
EventName,EventName
AlternateNames,AlternateNames
Description,Description
PositionLat,PositionLat
PositionLon,PositionLon
EventClasses,EventClasses
PostalAddress,PostalAddress
Telephones,Telephones
Images,Images
Organizations,Organizations
TrafficInfo,TrafficInfo
ParkingInfo,ParkingInfo
Facilities,Facilities
IsAccessibleForFree,IsAccessibleForFree
FeeInfo,FeeInfo
PaymentMethods,PaymentMethods
LocatedCities,LocatedCities
WebsiteURL,WebsiteURL
ReservationURLs,ReservationURLs
MapURLs,MapURLs
SameAsURLs,SameAsURLs
SocialMediaURLs,SocialMediaURLs
Participant,Participant
StartDateTime,StartDateTime
EndDateTime,EndDateTime
EventStatus,EventStatus
PreviousStartDates,PreviousStartDates
CalendarURLs,CalendarURLs
SubEvents,SubEvents
Remarks,Remarks
UpdateTime,UpdateTime
