name,title
RestaurantID,RestaurantID
RestaurantName,RestaurantName
AlternateNames,AlternateNames
Description,Description
PositionLat,PositionLat
PositionLon,PositionLon
CuisineClasses,CuisineClasses
PostalAddress,PostalAddress
Telephones,Telephones
Images,Images
Organizations,Organizations
ServiceTimeInfo,ServiceTimeInfo
TrafficInfo,TrafficInfo
ParkingInfo,ParkingInfo
Facilities,Facilities
ServiceStatus,ServiceStatus
PaymentMethods,PaymentMethods
LocatedCities,LocatedCities
WebsiteURL,WebsiteURL
ReservationURLs,ReservationURLs
MapURLs,MapURLs
SameAsURLs,SameAsURLs
SocialMediaURLs,SocialMediaURLs
RestaurantFeatures,RestaurantFeatures
Remarks,Remarks
UpdateTime,UpdateTime
